size_of_matrix,block_size,sequential_algo,parallel_algo
250,2,112,78
250,5,30,13
250,10,23,8
250,15,22,5
250,20,17,6
250,30,17,5
250,50,18,5
250,100,17,6
250,200,18,12
250,250,22,18
256,2,100,55
256,5,32,13
256,10,24,6
256,15,19,8
256,20,22,7
256,30,27,10
256,50,23,7
256,100,22,8
256,200,26,15
256,256,25,22
500,2,732,331
500,5,211,80
500,10,159,46
500,15,139,43
500,20,134,37
500,30,126,41
500,50,129,44
500,100,145,41
500,200,128,43
500,500,141,152
512,2,902,383
512,5,380,135
512,10,450,103
512,15,187,45
512,20,162,44
512,30,150,47
512,50,152,47
512,100,150,50
512,200,240,77
512,500,242,258
512,512,282,283
1000,2,13900,4589
1000,5,2239,969
1000,10,1869,624
1000,15,2556,467
1000,20,1329,446
1000,30,1304,403
1000,50,1348,434
1000,100,1465,443
1000,200,1461,517
1000,500,2141,1088
1000,1000,2238,2644
1024,2,16565,5729
1024,5,5665,1341
1024,10,3226,648
1024,15,2611,559
1024,20,2501,589
1024,30,2779,629
1024,50,1879,562
1024,100,2397,797
1024,200,2595,863
1024,500,3097,1144
1024,1024,2817,2873
1500,2,52994,15738
1500,5,9217,3631
1500,10,5832,2041
1500,15,4925,1747
1500,20,4458,1533
1500,30,4405,1470
1500,50,4655,1513
1500,100,4476,1410
1500,200,4631,1757
1500,500,5640,2003
1500,1500,14107,14364
2000,2,124680,41224
2000,5,23619,8589
2000,10,13132,4535
2000,15,11093,3623
2000,20,10860,3947
2000,30,11192,3710
2000,50,9728,3395
2000,100,10458,3662
2000,200,10120,3382
2000,500,11418,6126
2000,2000,61498,63745
2048,2,204445,46464
2048,5,30244,7572
2048,10,19987,6107
2048,15,14844,5199
2048,20,14286,4893
2048,30,14689,5395
2048,50,18938,7153
2048,100,19097,6944
2048,200,19383,7231
2048,500,19998,7563
2048,2048,128886,120669
